Assembly,Organism,SpeciesName,Coverage,SubmissionDate,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample,GenBank assembly accession,RefSeq assembly accession,sequencing_tech,long_reads
GCA_013400775.1,Chaetops frenatus (Rufous rock-jumper),Chaetops frenatus,42,7/10/20 0:00,B10K Consortium,34663,250297,SAMN12253910,GCA_013400775.1,NA,Illumina HiSeq,no
GCA_013396525.1,Chaetorhynchus papuensis (pygmy drongo),Chaetorhynchus papuensis,69,7/10/20 0:00,B10K Consortium,96574,712200,SAMN12253758,GCA_013396525.1,NA,Illumina HiSeq,no
GCA_013399475.1,Chauna torquata (southern screamer),Chauna torquata,45,7/10/20 0:00,B10K Consortium,39550,232486,SAMN12253900,GCA_013399475.1,NA,Illumina HiSeq,no
GCA_013398295.1,Chionis minor (black-faced sheathbill),Chionis minor,50,7/10/20 0:00,B10K Consortium,128427,592381,SAMN12253976,GCA_013398295.1,NA,Illumina HiSeq,no
GCA_013399075.1,Chloroceryle aenea (American pygmy kingfisher),Chloroceryle aenea,44,7/10/20 0:00,B10K Consortium,34835,324840,SAMN12253811,GCA_013399075.1,NA,Illumina HiSeq,no
GCA_013400585.1,Chloropsis cyanopogon (birds),Chloropsis cyanopogon,65,7/10/20 0:00,B10K Consortium,24720,106723,SAMN12253867,GCA_013400585.1,NA,Illumina HiSeq,no
GCA_013399635.1,Chordeiles acutipennis (lesser nighthawk),Chordeiles acutipennis,67,7/10/20 0:00,B10K Consortium,40733,630207,SAMN12253893,GCA_013399635.1,NA,Illumina HiSeq,no
GCA_013397655.1,Chroicocephalus maculipennis (brown-hooded gull),Chroicocephalus maculipennis,52,7/10/20 0:00,B10K Consortium,39391,476221,SAMN12253928,GCA_013397655.1,NA,Illumina HiSeq,no
GCA_013396505.1,Chunga burmeisteri (Black-legged seriema),Chunga burmeisteri,50,7/10/20 0:00,B10K Consortium,72519,1413557,SAMN12253760,GCA_013396505.1,NA,Illumina HiSeq,no
GCA_013396715.1,Ciccaba nigrolineata (birds),Ciccaba nigrolineata,41,7/10/20 0:00,B10K Consortium,52324,419310,SAMN12253770,GCA_013396715.1,NA,Illumina HiSeq,no
GCA_013399255.1,Ciconia maguari (birds),Ciconia maguari,41,7/10/20 0:00,B10K Consortium,66040,367223,SAMN12253803,GCA_013399255.1,NA,Illumina HiSeq,no
GCA_013399935.1,Cinclus mexicanus (birds),Cinclus mexicanus,46,7/10/20 0:00,B10K Consortium,44268,213297,SAMN12253825,GCA_013399935.1,NA,Illumina HiSeq,no
GCA_013399555.1,Circaetus pectoralis (black-chested snake-eagle),Circaetus pectoralis,50,7/10/20 0:00,B10K Consortium,28952,1302531,SAMN12253898,GCA_013399555.1,NA,Illumina HiSeq,no
GCA_013400215.1,Cisticola juncidis (birds),Cisticola juncidis,49,7/10/20 0:00,B10K Consortium,74140,873777,SAMN12253849,GCA_013400215.1,NA,Illumina HiSeq,no
GCA_013398175.1,Climacteris rufus (rufous treecreeper),Climacteris rufus,45,7/10/20 0:00,B10K Consortium,72434,863000,SAMN12253953,GCA_013398175.1,NA,Illumina HiSeq,no
GCA_013397755.1,Cnemophilus loriae (Loria's bird-of-paradise),Cnemophilus loriae,46,7/10/20 0:00,B10K Consortium,122939,1426893,SAMN12253940,GCA_013397755.1,NA,Illumina HiSeq,no
GCA_013396365.1,Cochlearius cochlearius (boat-billed heron),Cochlearius cochlearius,61,7/10/20 0:00,B10K Consortium,62809,1662124,SAMN12253750,GCA_013396365.1,NA,Illumina HiSeq,no
GCA_013397635.1,Columbina picui (picui ground-dove),Columbina picui,73,7/10/20 0:00,B10K Consortium,24994,616882,SAMN12253927,GCA_013397635.1,NA,Illumina HiSeq,no
GCA_013398635.1,Copsychus sechellarum (birds),Copsychus sechellarum,374,7/10/20 0:00,B10K Consortium,109076,11085488,SAMN12254010,GCA_013398635.1,NA,Illumina HiSeq,no
GCA_013398675.1,Corvus moneduloides (New Caledonian crow),Corvus moneduloides,99,7/10/20 0:00,B10K Consortium,331397,4457534,SAMN12254009,GCA_013398675.1,NA,Illumina HiSeq,no
GCA_013396815.1,Corythaeola cristata (great blue turaco),Corythaeola cristata,75,7/10/20 0:00,B10K Consortium,7216,102987,SAMN12253763,GCA_013396815.1,NA,Illumina HiSeq,no
GCA_013399495.1,Corythaixoides concolor (grey go-away-bird),Corythaixoides concolor,63,7/10/20 0:00,B10K Consortium,52683,1108645,SAMN12253899,GCA_013399495.1,NA,Illumina HiSeq,no
GCA_013397455.1,Crotophaga sulcirostris (groove-billed ani),Crotophaga sulcirostris,55,7/10/20 0:00,B10K Consortium,83601,1692907,SAMN12253881,GCA_013397455.1,NA,Illumina HiSeq,no
GCA_013397915.1,Daphoenositta chrysoptera (varied sittella),Daphoenositta chrysoptera,54,7/10/20 0:00,B10K Consortium,79485,804295,SAMN12253948,GCA_013397915.1,NA,Illumina HiSeq,no
GCA_013397935.1,Dasyornis broadbenti (rufous bristle-bird),Dasyornis broadbenti,44,7/10/20 0:00,B10K Consortium,67799,1415013,SAMN12253949,GCA_013397935.1,NA,Illumina HiSeq,no
GCA_013396995.1,Dicaeum eximium (birds),Dicaeum eximium,49,7/10/20 0:00,B10K Consortium,117005,1096110,SAMN12253792,GCA_013396995.1,NA,Illumina HiSeq,no
GCA_013399195.1,Dicrurus megarhynchus (birds),Dicrurus megarhynchus,42,7/10/20 0:00,B10K Consortium,143784,1068420,SAMN12253804,GCA_013399195.1,NA,Illumina HiSeq,no
GCA_013397315.1,Donacobius atricapilla (birds),Donacobius atricapilla,49,7/10/20 0:00,B10K Consortium,64871,542855,SAMN12253813,GCA_013397315.1,NA,Illumina HiSeq,no
GCA_013396795.1,Dromaius novaehollandiae (emu),Dromaius novaehollandiae,71,7/10/20 0:00,B10K Consortium,86977,4098324,SAMN12253764,GCA_013396795.1,NA,Illumina HiSeq,no
GCA_013398915.1,Dromas ardeola (birds),Dromas ardeola,44,7/10/20 0:00,B10K Consortium,40991,314166,SAMN12253915,GCA_013398915.1,NA,Illumina HiSeq,no
GCA_013400955.1,Drymodes brunneopygia (birds),Drymodes brunneopygia,48,7/10/20 0:00,B10K Consortium,79910,443364,SAMN12253961,GCA_013400955.1,NA,Illumina HiSeq,no
GCA_013397175.1,Dyaphorophyia castanea (birds),Dyaphorophyia castanea,50,7/10/20 0:00,B10K Consortium,84600,719154,SAMN12253821,GCA_013397175.1,NA,Illumina HiSeq,no
GCA_013397115.1,Edolisoma coerulescens (birds),Edolisoma coerulescens,42,7/10/20 0:00,B10K Consortium,131175,1336768,SAMN12253783,GCA_013397115.1,NA,Illumina HiSeq,no
GCA_013398835.1,Emberiza fucata (birds),Emberiza fucata,57,7/10/20 0:00,B10K Consortium,19687,892245,SAMN12253922,GCA_013398835.1,NA,Illumina HiSeq,no
GCA_013397615.1,Eolophus roseicapillus (galah),Eolophus roseicapillus,55,7/10/20 0:00,B10K Consortium,21735,418393,SAMN12253931,GCA_013397615.1,NA,Illumina HiSeq,no
GCA_013398395.1,Erithacus rubecula (European robin),Erithacus rubecula,159,7/10/20 0:00,B10K Consortium,73144,2955106,SAMN12253986,GCA_013398395.1,NA,Illumina HiSeq,no
GCA_013400515.1,Erpornis zantholeuca (birds),Erpornis zantholeuca,45,7/10/20 0:00,B10K Consortium,45331,176063,SAMN12253868,GCA_013400515.1,NA,Illumina HiSeq,no
GCA_013397435.1,Erythrocercus mccallii (birds),Erythrocercus mccallii,122,7/10/20 0:00,B10K Consortium,83996,346475,SAMN12253870,GCA_013397435.1,NA,Illumina HiSeq,no
GCA_013396675.1,Eubucco bourcierii (red-headed barbet),Eubucco bourcierii,38,7/10/20 0:00,B10K Consortium,26549,208022,SAMN12253768,GCA_013396675.1,NA,Illumina HiSeq,no
GCA_013398775.1,Eudromia elegans (elegant crested-tinamou),Eudromia elegans,84,7/10/20 0:00,B10K Consortium,74838,6275819,SAMN12253968,GCA_013398775.1,NA,Illumina HiSeq,no
GCA_013397775.1,Eulacestoma nigropectus (wattled ploughbill),Eulacestoma nigropectus,44,7/10/20 0:00,B10K Consortium,75916,1156832,SAMN12253941,GCA_013397775.1,NA,Illumina HiSeq,no
GCA_013400335.1,Eurystomus gularis (birds),Eurystomus gularis,35,7/10/20 0:00,B10K Consortium,57880,197888,SAMN12253862,GCA_013400335.1,NA,Illumina HiSeq,no
GCA_013398115.1,Falcunculus frontatus (Eastern shriketit),Falcunculus frontatus,67,7/10/20 0:00,B10K Consortium,150458,1193676,SAMN12253959,GCA_013398115.1,NA,Illumina HiSeq,no
GCA_013399695.1,Formicarius rufipectus (birds),Formicarius rufipectus,49,7/10/20 0:00,B10K Consortium,79409,836584,SAMN12253799,GCA_013399695.1,NA,Illumina HiSeq,no
GCA_013399335.1,Fregetta grallaria (white-bellied storm-petrel),Fregetta grallaria,59,7/10/20 0:00,B10K Consortium,15821,342041,SAMN12253887,GCA_013399335.1,NA,Illumina HiSeq,no
GCA_013397465.1,Furnarius figulus (birds),Furnarius figulus,72,7/10/20 0:00,B10K Consortium,55547,650940,SAMN12253878,GCA_013397465.1,NA,Illumina HiSeq,no
GCA_013399015.1,Galbula dea (birds),Galbula dea,48,7/10/20 0:00,B10K Consortium,251170,1175606,SAMN12253812,GCA_013399015.1,NA,Illumina HiSeq,no
GCA_013401295.1,Glareola pratincola (birds),Glareola pratincola,60,7/10/20 0:00,B10K Consortium,39898,411631,SAMN12253752,GCA_013401295.1,NA,Illumina HiSeq,no
GCA_013399595.1,Glaucidium brasilianum (ferruginous pygmy-owl),Glaucidium brasilianum,69,7/10/20 0:00,B10K Consortium,74988,1600682,SAMN12253894,GCA_013399595.1,NA,Illumina HiSeq,no
GCA_013396735.1,Grallaria varia (variegated antpitta),Grallaria varia,49,7/10/20 0:00,B10K Consortium,64146,482390,SAMN12253766,GCA_013396735.1,NA,Illumina HiSeq,no
GCA_013397955.1,Grantiella picta (birds),Grantiella picta,49,7/10/20 0:00,B10K Consortium,100624,1131194,SAMN12253950,GCA_013397955.1,NA,Illumina HiSeq,no
GCA_013399875.1,Gymnorhina tibicen (Australian magpie),Gymnorhina tibicen,51,7/10/20 0:00,B10K Consortium,140542,1191429,SAMN12253831,GCA_013399875.1,NA,Illumina HiSeq,no
GCA_013397595.1,Halcyon senegalensis (birds),Halcyon senegalensis,68,7/10/20 0:00,B10K Consortium,95631,2050318,SAMN12253930,GCA_013397595.1,NA,Illumina HiSeq,no
GCA_013398555.1,Haliaeetus albicilla (white-tailed eagle),Haliaeetus albicilla,262,7/10/20 0:00,B10K Consortium,134899,4551471,SAMN12253999,GCA_013398555.1,NA,Illumina HiSeq,no
GCA_013399135.1,Heliornis fulica (sungrebe),Heliornis fulica,43,7/10/20 0:00,B10K Consortium,53463,389526,SAMN12253807,GCA_013399135.1,NA,Illumina HiSeq,no
GCA_013396855.1,Hemiprocne comata (birds),Hemiprocne comata,40,7/10/20 0:00,B10K Consortium,62389,355677,SAMN12253781,GCA_013396855.1,NA,Illumina HiSeq,no
GCA_013399355.1,Herpetotheres cachinnans (birds),Herpetotheres cachinnans,66,7/10/20 0:00,B10K Consortium,61768,1830427,SAMN12253885,GCA_013399355.1,NA,Illumina HiSeq,no
GCA_013400095.1,Himantopus himantopus (black-winged stilt),Himantopus himantopus,39,7/10/20 0:00,B10K Consortium,79248,712820,SAMN12253837,GCA_013400095.1,NA,Illumina HiSeq,no
GCA_013400075.1,Hippolais icterina (icterine warbler),Hippolais icterina,49,7/10/20 0:00,B10K Consortium,64762,494139,SAMN12253841,GCA_013400075.1,NA,Illumina HiSeq,no
GCA_013399815.1,Hirundo rustica (Barn swallow),Hirundo rustica,117,7/10/20 0:00,B10K Consortium,119850,675769,SAMN12253817,GCA_013399815.1,NA,Illumina HiSeq,no
GCA_013401035.1,Horornis vulcanius (birds),Horornis vulcanius,46,7/10/20 0:00,B10K Consortium,3129,15429,SAMN12253956,GCA_013401035.1,NA,Illumina HiSeq,no
GCA_013397025.1,Hydrobates tethys (Wedge-rumped storm-petrel),Hydrobates tethys,38,7/10/20 0:00,B10K Consortium,54514,372486,SAMN12253790,GCA_013397025.1,NA,Illumina HiSeq,no
GCA_013397195.1,Hylia prasina (green hylia),Hylia prasina,48,7/10/20 0:00,B10K Consortium,64125,688804,SAMN12253820,GCA_013397195.1,NA,Illumina HiSeq,no
GCA_013400635.1,Hypocryptadius cinnamomeus (birds),Hypocryptadius cinnamomeus,53,7/10/20 0:00,B10K Consortium,23460,39504,SAMN12253877,GCA_013400635.1,NA,Illumina HiSeq,no
GCA_013398815.1,Ibidorhyncha struthersii (birds),Ibidorhyncha struthersii,47,7/10/20 0:00,B10K Consortium,64861,514623,SAMN12253964,GCA_013398815.1,NA,Illumina HiSeq,no
GCA_013398055.1,Ifrita kowaldi (blue-capped ifrita),Ifrita kowaldi,51,7/10/20 0:00,B10K Consortium,103033,424487,SAMN12253943,GCA_013398055.1,NA,Illumina HiSeq,no
GCA_013399915.1,Illadopsis cleaveri (blackcap illadopsis),Illadopsis cleaveri,45,7/10/20 0:00,B10K Consortium,45419,377149,SAMN12253828,GCA_013399915.1,NA,Illumina HiSeq,no
GCA_013399975.1,Indicator maculatus (spotted honeyguide),Indicator maculatus,48,7/10/20 0:00,B10K Consortium,65219,462551,SAMN12253826,GCA_013399975.1,NA,Illumina HiSeq,no
GCA_013397155.1,Irena cyanogastra (fairy bluebird),Irena cyanogastra,49,7/10/20 0:00,B10K Consortium,128716,552862,SAMN12253784,GCA_013397155.1,NA,Illumina HiSeq,no
GCA_013400555.1,Jacana jacana (wattled jacana),Jacana jacana,42,7/10/20 0:00,B10K Consortium,31221,126631,SAMN12253869,GCA_013400555.1,NA,Illumina HiSeq,no
GCA_013397235.1,Lanius ludovicianus (birds),Lanius ludovicianus,45,7/10/20 0:00,B10K Consortium,98065,684974,SAMN12253815,GCA_013397235.1,NA,Illumina HiSeq,no
GCA_013400295.1,Larus smithsonianus (American herring gull),Larus smithsonianus,90,7/10/20 0:00,B10K Consortium,59826,82245,SAMN12253848,GCA_013400295.1,NA,Illumina HiSeq,no
GCA_013400445.1,Leiothrix lutea (red-billed leiothrix),Leiothrix lutea,70,7/10/20 0:00,B10K Consortium,27764,297511,SAMN12253856,GCA_013400445.1,NA,Illumina HiSeq,no
GCA_013399835.1,Leptocoma aspasia (birds),Leptocoma aspasia,44,7/10/20 0:00,B10K Consortium,89252,743438,SAMN12253793,GCA_013399835.1,NA,Illumina HiSeq,no
GCA_013397325.1,Leucopsar rothschildi (Bali myna),Leucopsar rothschildi,43,7/10/20 0:00,B10K Consortium,93565,605901,SAMN12253829,GCA_013397325.1,NA,Illumina HiSeq,no
GCA_013400155.1,Locustella ochotensis (Middendorff's grasshopper-warbler),Locustella ochotensis,93,7/10/20 0:00,B10K Consortium,58272,653738,SAMN12253834,GCA_013400155.1,NA,Illumina HiSeq,no
GCA_013396455.1,Lophotis ruficrista (birds),Lophotis ruficrista,60,7/10/20 0:00,B10K Consortium,57900,702395,SAMN12253761,GCA_013396455.1,NA,Illumina HiSeq,no
GCA_013398455.1,Loxia curvirostra (birds),Loxia curvirostra,92,7/10/20 0:00,B10K Consortium,211346,3116274,SAMN12253984,GCA_013398455.1,NA,Illumina HiSeq,no
GCA_013396895.1,Loxia leucoptera (white-winged crossbill),Loxia leucoptera,50,7/10/20 0:00,B10K Consortium,96290,614047,SAMN12253777,GCA_013396895.1,NA,Illumina HiSeq,no
GCA_013397975.1,Machaerirhynchus nigripectus (birds),Machaerirhynchus nigripectus,44,7/10/20 0:00,B10K Consortium,76530,998129,SAMN12253945,GCA_013397975.1,NA,Illumina HiSeq,no
GCA_013397995.1,Malurus elegans (Red-winged fairywren),Malurus elegans,52,7/10/20 0:00,B10K Consortium,74070,458136,SAMN12253946,GCA_013397995.1,NA,Illumina HiSeq,no
GCA_013397845.1,Melanocharis versteri (Fan-tailed berrypecker),Melanocharis versteri,54,7/10/20 0:00,B10K Consortium,103752,854663,SAMN12253939,GCA_013397845.1,NA,Illumina HiSeq,no
GCA_013398205.1,Melospiza melodia (song sparrow),Melospiza melodia,368,7/10/20 0:00,B10K Consortium,181098,9239070,SAMN12253982,GCA_013398205.1,NA,ILLUMINA; PACBIO_SMRT,yes
GCA_013396355.1,Menura novaehollandiae (superb lyrebird),Menura novaehollandiae,60,7/10/20 0:00,B10K Consortium,85461,2360993,SAMN12253747,GCA_013396355.1,NA,Illumina HiSeq,no
GCA_013399675.1,Mesembrinibis cayennensis (birds),Mesembrinibis cayennensis,40,7/10/20 0:00,B10K Consortium,85098,482795,SAMN12253800,GCA_013399675.1,NA,Illumina HiSeq,no
GCA_013397495.1,Mionectes macconnelli (McConnell's flycatcher),Mionectes macconnelli,73,7/10/20 0:00,B10K Consortium,72805,1646422,SAMN12253879,GCA_013397495.1,NA,Illumina HiSeq,no
GCA_013398855.1,Mohoua ochrocephala (birds),Mohoua ochrocephala,35,7/10/20 0:00,B10K Consortium,54215,206785,SAMN12253963,GCA_013398855.1,NA,Illumina HiSeq,no
GCA_013401155.1,Molothrus ater (birds),Molothrus ater,63,7/10/20 0:00,B10K Consortium,89160,1946625,SAMN12254001,GCA_013401155.1,NA,Illumina HiSeq,no
GCA_013397355.1,Motacilla alba (white wagtail),Motacilla alba,50,7/10/20 0:00,B10K Consortium,87013,683060,SAMN12253824,GCA_013397355.1,NA,Illumina HiSeq,no
GCA_013397015.1,Myiagra hebetior (birds),Myiagra hebetior,46,7/10/20 0:00,B10K Consortium,66181,831089,SAMN12253791,GCA_013397015.1,NA,Illumina HiSeq,no
GCA_013400655.1,Mystacornis crossleyi (Crossley's babbler),Mystacornis crossleyi,45,7/10/20 0:00,B10K Consortium,10653,36392,SAMN12253876,GCA_013400655.1,NA,Illumina HiSeq,no
GCA_013400695.1,Neodrepanis coruscans (wattled asity),Neodrepanis coruscans,46,7/10/20 0:00,B10K Consortium,7054,18836,SAMN12253874,GCA_013400695.1,NA,Illumina HiSeq,no
GCA_013397415.1,Neopipo cinnamomea (birds),Neopipo cinnamomea,72,7/10/20 0:00,B10K Consortium,43146,485965,SAMN12253882,GCA_013397415.1,NA,Illumina HiSeq,no
GCA_013398715.1,Nesospiza acunhae (birds),Nesospiza acunhae,110,7/10/20 0:00,B10K Consortium,38571,1027905,SAMN12254004,GCA_013398715.1,NA,Illumina HiSeq,no
GCA_013400495.1,Nicator chloris (birds),Nicator chloris,78,7/10/20 0:00,B10K Consortium,56498,99492,SAMN12253854,GCA_013400495.1,NA,Illumina HiSeq,no
GCA_013398735.1,Nothocercus julius (birds),Nothocercus julius,77,7/10/20 0:00,B10K Consortium,37646,4059565,SAMN12253972,GCA_013398735.1,NA,Illumina HiSeq,no
GCA_013398345.1,Nothocercus nigrocapillus (birds),Nothocercus nigrocapillus,80,7/10/20 0:00,B10K Consortium,31010,2648942,SAMN12253973,GCA_013398345.1,NA,Illumina HiSeq,no
GCA_013398335.1,Nothoprocta ornata (birds),Nothoprocta ornata,85,7/10/20 0:00,B10K Consortium,47308,3788443,SAMN12253974,GCA_013398335.1,NA,Illumina HiSeq,no
GCA_013398315.1,Nothoprocta pentlandii (birds),Nothoprocta pentlandii,94,7/10/20 0:00,B10K Consortium,45203,1104275,SAMN12253975,GCA_013398315.1,NA,Illumina HiSeq,no
GCA_013398075.1,Notiomystis cincta (birds),Notiomystis cincta,43,7/10/20 0:00,B10K Consortium,50117,154199,SAMN12253957,GCA_013398075.1,NA,Illumina HiSeq,no
GCA_013396595.1,Nyctibius bracteatus (Rufous potoo),Nyctibius bracteatus,59,7/10/20 0:00,B10K Consortium,33238,380686,SAMN12253753,GCA_013396595.1,NA,Illumina HiSeq,no
GCA_013399155.1,Nyctibius grandis (birds),Nyctibius grandis,44,7/10/20 0:00,B10K Consortium,64960,158961,SAMN12253808,GCA_013399155.1,NA,Illumina HiSeq,no
GCA_013400055.1,Nycticryphes semicollaris (birds),Nycticryphes semicollaris,41,7/10/20 0:00,B10K Consortium,74117,702727,SAMN12253838,GCA_013400055.1,NA,Illumina HiSeq,no
GCA_013399395.1,Nyctiprogne leucopyga (birds),Nyctiprogne leucopyga,62,7/10/20 0:00,B10K Consortium,28894,190423,SAMN12253883,GCA_013399395.1,NA,Illumina HiSeq,no
GCA_013396615.1,Oceanites oceanicus (Wilson's storm-petrel),Oceanites oceanicus,67,7/10/20 0:00,B10K Consortium,28090,406319,SAMN12253754,GCA_013396615.1,NA,Illumina HiSeq,no
GCA_013399175.1,Odontophorus gujanensis (marbled wood quail),Odontophorus gujanensis,52,7/10/20 0:00,B10K Consortium,74578,343789,SAMN12253806,GCA_013399175.1,NA,Illumina HiSeq,no
GCA_013399995.1,Oenanthe oenanthe (Northern wheatear),Oenanthe oenanthe,52,7/10/20 0:00,B10K Consortium,44998,507914,SAMN12253823,GCA_013399995.1,NA,Illumina HiSeq,no
GCA_013397825.1,Onychorhynchus coronatus (birds),Onychorhynchus coronatus,71,7/10/20 0:00,B10K Consortium,96253,2999088,SAMN12253933,GCA_013397825.1,NA,Illumina HiSeq,no
GCA_013398015.1,Oreocharis arfaki (tit berrypecker),Oreocharis arfaki,45,7/10/20 0:00,B10K Consortium,109596,636482,SAMN12253944,GCA_013398015.1,NA,Illumina HiSeq,no
GCA_013400995.1,Oreotrochilus melanogaster (birds),Oreotrochilus melanogaster,50,7/10/20 0:00,B10K Consortium,7679,167855,SAMN12253978,GCA_013400995.1,NA,Illumina HiSeq,no
GCA_013397895.1,Origma solitaria (birds),Origma solitaria,47,7/10/20 0:00,B10K Consortium,99117,1255867,SAMN12253952,GCA_013397895.1,NA,Illumina HiSeq,no
GCA_013400235.1,Oriolus oriolus (Eurasian golden-oriole),Oriolus oriolus,40,7/10/20 0:00,B10K Consortium,97892,716337,SAMN12253845,GCA_013400235.1,NA,Illumina HiSeq,no
GCA_013397795.1,Orthonyx spaldingii (northern chowchilla),Orthonyx spaldingii,46,7/10/20 0:00,B10K Consortium,81405,1302835,SAMN12253936,GCA_013397795.1,NA,Illumina HiSeq,no
GCA_013400675.1,Oxylabes madagascariensis (white-throated Oxylabes),Oxylabes madagascariensis,40,7/10/20 0:00,B10K Consortium,3531,17018,SAMN12253875,GCA_013400675.1,NA,Illumina HiSeq,no
GCA_013399855.1,Oxyruncus cristatus (sharpbill),Oxyruncus cristatus,49,7/10/20 0:00,B10K Consortium,75750,1139285,SAMN12253832,GCA_013399855.1,NA,Illumina HiSeq,no
GCA_013397055.1,Pachycephala philippinensis (yellow-belllied whistler),Pachycephala philippinensis,41,7/10/20 0:00,B10K Consortium,60658,492780,SAMN12253786,GCA_013397055.1,NA,Illumina HiSeq,no
GCA_013397135.1,Pachyramphus minor (birds),Pachyramphus minor,40,7/10/20 0:00,B10K Consortium,89585,564837,SAMN12253822,GCA_013397135.1,NA,Illumina HiSeq,no
GCA_013401275.1,Pandion haliaetus (osprey),Pandion haliaetus,46,7/10/20 0:00,B10K Consortium,23447,104045,SAMN12253917,GCA_013401275.1,NA,Illumina HiSeq,no
GCA_013398035.1,Panurus biarmicus (birds),Panurus biarmicus,109,7/10/20 0:00,B10K Consortium,18922,121818,SAMN12253962,GCA_013398035.1,NA,Illumina HiSeq,no
GCA_013397395.1,Paradoxornis webbianus (crow tit),Paradoxornis webbianus,47,7/10/20 0:00,B10K Consortium,78603,970774,SAMN12253833,GCA_013397395.1,NA,Illumina HiSeq,no
GCA_013400915.1,Pardalotus punctatus (spotted pardalote),Pardalotus punctatus,47,7/10/20 0:00,B10K Consortium,83169,306807,SAMN12253951,GCA_013400915.1,NA,Illumina HiSeq,no
GCA_013401095.1,Passerina amoena (birds),Passerina amoena,115,7/10/20 0:00,B10K Consortium,54910,646716,SAMN12253987,GCA_013401095.1,NA,Illumina HiSeq,no
GCA_013398155.1,Pedionomus torquatus (plains-wanderer),Pedionomus torquatus,41,7/10/20 0:00,B10K Consortium,36855,254645,SAMN12253960,GCA_013398155.1,NA,Illumina HiSeq,no
GCA_013400755.1,Pelecanoides urinatrix (birds),Pelecanoides urinatrix,81,7/10/20 0:00,B10K Consortium,93910,250258,SAMN12253911,GCA_013400755.1,NA,Illumina HiSeq,no
GCA_013396635.1,Penelope pileata (birds),Penelope pileata,48,7/10/20 0:00,B10K Consortium,84123,732582,SAMN12253771,GCA_013396635.1,NA,Illumina HiSeq,no
GCA_013400575.1,Peucedramus taeniatus (olive warbler),Peucedramus taeniatus,51,7/10/20 0:00,B10K Consortium,61982,183857,SAMN12253863,GCA_013400575.1,NA,Illumina HiSeq,no
GCA_013399535.1,Phaetusa simplex (large-billed tern),Phaetusa simplex,48,7/10/20 0:00,B10K Consortium,16901,520939,SAMN12253896,GCA_013399535.1,NA,Illumina HiSeq,no
GCA_013400175.1,Phainopepla nitens (birds),Phainopepla nitens,43,7/10/20 0:00,B10K Consortium,74322,542914,SAMN12253850,GCA_013400175.1,NA,Illumina HiSeq,no
GCA_013398405.1,Pheucticus melanocephalus (birds),Pheucticus melanocephalus,119,7/10/20 0:00,B10K Consortium,57804,697372,SAMN12253988,GCA_013398405.1,NA,Illumina HiSeq,no
GCA_013399295.1,Piprites chloris (white-winged piprites),Piprites chloris,75,7/10/20 0:00,B10K Consortium,75890,2866662,SAMN12253889,GCA_013399295.1,NA,Illumina HiSeq,no
GCA_013399945.1,Ploceus nigricollis (birds),Ploceus nigricollis,46,7/10/20 0:00,B10K Consortium,74004,730145,SAMN12253827,GCA_013399945.1,NA,Illumina HiSeq,no
GCA_013400795.1,Pluvianellus socialis (magellanic plover),Pluvianellus socialis,48,7/10/20 0:00,B10K Consortium,48629,121952,SAMN12253906,GCA_013400795.1,NA,Illumina HiSeq,no
GCA_013399755.1,Podargus strigoides (tawny frogmouth),Podargus strigoides,69,7/10/20 0:00,B10K Consortium,80636,176118,SAMN12253797,GCA_013399755.1,NA,Illumina HiSeq,no
GCA_013399565.1,Podilymbus podiceps (birds),Podilymbus podiceps,67,7/10/20 0:00,B10K Consortium,35810,692269,SAMN12253895,GCA_013399565.1,NA,Illumina HiSeq,no
GCA_013398625.1,Poecile atricapillus (Black-capped chickadee),Poecile atricapillus,101,7/10/20 0:00,B10K Consortium,109509,11311321,SAMN12253993,GCA_013398625.1,NA,Illumina HiSeq,no
GCA_013397295.1,Polioptila caerulea (birds),Polioptila caerulea,52,7/10/20 0:00,B10K Consortium,50944,602916,SAMN12253816,GCA_013397295.1,NA,Illumina HiSeq,no
GCA_013401195.1,Pomatorhinus ruficollis (streak-breasted scimitar babbler),Pomatorhinus ruficollis,83,7/10/20 0:00,B10K Consortium,60017,1256354,SAMN12253971,GCA_013401195.1,NA,Illumina HiSeq,no
GCA_013400735.1,Pomatostomus ruficeps (chestnut-crowned babbler),Pomatostomus ruficeps,43,7/10/20 0:00,B10K Consortium,34780,71937,SAMN12253873,GCA_013400735.1,NA,Illumina HiSeq,no
GCA_013397665.1,Probosciger aterrimus (palm cockatoo),Probosciger aterrimus,105,7/10/20 0:00,B10K Consortium,32274,198462,SAMN12253926,GCA_013397665.1,NA,Illumina HiSeq,no
GCA_013398275.1,Promerops cafer (Cape sugarbird),Promerops cafer,55,7/10/20 0:00,B10K Consortium,128262,1179653,SAMN12253977,GCA_013398275.1,NA,Illumina HiSeq,no
GCA_013400715.1,Prunella fulvescens (Brown accentor),Prunella fulvescens,49,7/10/20 0:00,B10K Consortium,26696,121881,SAMN12253912,GCA_013400715.1,NA,Illumina HiSeq,no
GCA_013398875.1,Prunella himalayana (birds),Prunella himalayana,74,7/10/20 0:00,B10K Consortium,38296,1815815,SAMN12253920,GCA_013398875.1,NA,Illumina HiSeq,no
GCA_013396835.1,Psilopogon haemacephalus (birds),Psilopogon haemacephalus,41,7/10/20 0:00,B10K Consortium,36269,297144,SAMN12253782,GCA_013396835.1,NA,Illumina HiSeq,no
