#Organism Name,Organism Groups,Strain,BioSample,BioProject,AssemblyAccession,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,ReleaseOrder,Year,GenBank FTP,RefSeq FTP
Phainopepla nitens,Aves,B10K-DU-002-32,SAMN12253850,PRJNA545868,GCA_013400175.1,Scaffold,1027.44,41.3,,VXBQ01,28278,13545,7/10/2020,2133,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/175/GCA_013400175.1_ASM1340017v1,
Aramus guarauna,Aves,B10K-DU-002-11,SAMN12253836,PRJNA545868,GCA_013400195.1,Scaffold,1170.51,41.4,,VXBL01,18527,14295,7/10/2020,2134,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/195/GCA_013400195.1_ASM1340019v1,
Cisticola juncidis,Aves,B10K-DU-002-30,SAMN12253849,PRJNA545868,GCA_013400215.1,Scaffold,1016.62,41.3,,VXBR01,20420,13396,7/10/2020,2135,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/215/GCA_013400215.1_ASM1340021v1,
Oriolus oriolus,Aves,B10K-DU-002-24,SAMN12253845,PRJNA545868,GCA_013400235.1,Scaffold,1038.87,42.2,,VXBT01,22076,13936,7/10/2020,2136,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/235/GCA_013400235.1_ASM1340023v1,
Sitta europaea,Aves,B10K-DU-002-25,SAMN12253846,PRJNA545868,GCA_013400255.1,Scaffold,1020.78,41.2,,VXBS01,18111,13557,7/10/2020,2137,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/255/GCA_013400255.1_ASM1340025v1,
Rhadina sibilatrix,Aves,B10K-DU-002-26,SAMN12253847,PRJNA545868,GCA_013400275.1,Scaffold,1045.32,41.4,,VWYO01,50491,13641,7/10/2020,2138,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/275/GCA_013400275.1_ASM1340027v1,
Bombycilla garrulus,Aves,B10K-DU-002-23,SAMN12253844,PRJNA545868,GCA_013400315.1,Scaffold,1032.12,41.3,,VXBU01,32196,13804,7/10/2020,2139,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/315/GCA_013400315.1_ASM1340031v1,
Larus smithsonianus,Aves,B10K-DU-002-28,SAMN12253848,PRJNA545868,GCA_013400295.1,Scaffold,1174.55,42.5,,WAAC01,117859,0,7/10/2020,2140,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/295/GCA_013400295.1_ASM1340029v1,
Certhia brachydactyla,Aves,B10K-DU-002-20,SAMN12253843,PRJNA545868,GCA_013400355.1,Scaffold,1028.79,40.9,,VXBV01,13655,13885,7/10/2020,2141,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/355/GCA_013400355.1_ASM1340035v1,
Eurystomus gularis,Aves,B10K-DU-002-51,SAMN12253862,PRJNA545868,GCA_013400335.1,Scaffold,1130.13,41.7,,VZZY01,39629,13953,7/10/2020,2142,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/335/GCA_013400335.1_ASM1340033v1,
Thinocorus orbignyianus,Aves,B10K-DU-002-47,SAMN12253858,PRJNA545868,GCA_013400375.1,Scaffold,1092.41,41.5,,VXBW01,15363,14061,7/10/2020,2143,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/375/GCA_013400375.1_ASM1340037v1,
Vidua macroura,Aves,B10K-DU-002-50,SAMN12253861,PRJNA545868,GCA_013400395.1,Scaffold,1024.46,41.1,,WBNN01,93444,13078,7/10/2020,2144,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/395/GCA_013400395.1_ASM1340039v1,
Scytalopus superciliaris,Aves,B10K-DU-002-46,SAMN12253857,PRJNA545868,GCA_013400415.1,Scaffold,1061.78,41.2,,VXBX01,17518,13855,7/10/2020,2145,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/415/GCA_013400415.1_ASM1340041v1,
Pycnonotus jocosus,Aves,B10K-DU-002-42,SAMN12253855,PRJNA545868,GCA_013400435.1,Scaffold,1024.59,41.4,,VWYP01,60582,13900,7/10/2020,2146,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/435/GCA_013400435.1_ASM1340043v1,
Nicator chloris,Aves,B10K-DU-002-40,SAMN12253854,PRJNA545868,GCA_013400495.1,Scaffold,1040.74,42.3,,WAAE01,153465,0,7/10/2020,2147,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/495/GCA_013400495.1_ASM1340049v1,
Tricholaema leucomelas,Aves,B10K-DU-002-37,SAMN12253853,PRJNA545868,GCA_013400475.1,Scaffold,1236.24,44.8,,WAAF01,65168,14343,7/10/2020,2148,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/475/GCA_013400475.1_ASM1340047v1,
Erpornis zantholeuca,Aves,B10K-DU-002-58,SAMN12253868,PRJNA545868,GCA_013400515.1,Scaffold,1013.97,41.4,,VZTN01,89074,13321,7/10/2020,2149,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/515/GCA_013400515.1_ASM1340051v1,
Chloropsis cyanopogon,Aves,B10K-DU-002-57,SAMN12253867,PRJNA545868,GCA_013400585.1,Scaffold,985.402,40.9,,WEZZ01,91329,12574,7/10/2020,2150,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/585/GCA_013400585.1_ASM1340058v1,
Scopus umbretta,Aves,B10K-DU-002-70,SAMN12253872,PRJNA545868,GCA_013400535.1,Scaffold,1091.98,41.5,,VZTL01,239406,0,7/10/2020,2151,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/535/GCA_013400535.1_ASM1340053v1,
Peucedramus taeniatus,Aves,B10K-DU-002-52,SAMN12253863,PRJNA545868,GCA_013400575.1,Scaffold,1037.53,41.3,,WBNO01,52207,13677,7/10/2020,2152,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/575/GCA_013400575.1_ASM1340057v1,
Hypocryptadius cinnamomeus,Aves,B10K-DU-002-83,SAMN12253877,PRJNA545868,GCA_013400635.1,Scaffold,854.293,42.3,,VYZP01,214600,0,7/10/2020,2153,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/635/GCA_013400635.1_ASM1340063v1,
Syrrhaptes paradoxus,Aves,B10K-DU-003-42,SAMN12253880,PRJNA545868,GCA_013400615.1,Scaffold,1101.53,41.6,,VZTO01,215209,0,7/10/2020,2154,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/615/GCA_013400615.1_ASM1340061v1,
Mystacornis crossleyi,Aves,B10K-DU-002-82,SAMN12253876,PRJNA545868,GCA_013400655.1,Scaffold,1116.8,38.5,,VYZQ01,247908,0,7/10/2020,2155,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/655/GCA_013400655.1_ASM1340065v1,
Neodrepanis coruscans,Aves,B10K-DU-002-79,SAMN12253874,PRJNA545868,GCA_013400695.1,Scaffold,1024.46,34.9,,VYZS01,352748,0,7/10/2020,2156,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/695/GCA_013400695.1_ASM1340069v1,
Oxylabes madagascariensis,Aves,B10K-DU-002-81,SAMN12253875,PRJNA545868,GCA_013400675.1,Scaffold,1199.25,32.6,,VYZR01,388344,0,7/10/2020,2157,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/675/GCA_013400675.1_ASM1340067v1,
Pomatostomus ruficeps,Aves,B10K-DU-002-71,SAMN12253873,PRJNA545868,GCA_013400735.1,Scaffold,1020.56,42.3,,VYZT01,126485,0,7/10/2020,2158,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/735/GCA_013400735.1_ASM1340073v1,
Pelecanoides urinatrix,Aves,B10K-DU-012-45,SAMN12253911,PRJNA545868,GCA_013400755.1,Scaffold,1205.48,41.7,,VZTQ01,51720,14766,7/10/2020,2159,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/755/GCA_013400755.1_ASM1340075v1,
Chaetops frenatus,Aves,B10K-DU-012-41,SAMN12253910,PRJNA545868,GCA_013400775.1,Scaffold,1065.44,40.1,,VZTR01,64684,13233,7/10/2020,2160,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/775/GCA_013400775.1_ASM1340077v1,
Centropus bengalensis,Aves,B10K-DU-017-21,SAMN12253924,PRJNA545868,GCA_013400815.1,Scaffold,1015.64,41.1,,WBNK01,9447,13170,7/10/2020,2161,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/815/GCA_013400815.1_ASM1340081v1,
Pluvianellus socialis,Aves,B10K-DU-012-14,SAMN12253906,PRJNA545868,GCA_013400795.1,Scaffold,1185.84,42.1,,VZTS01,52986,14317,7/10/2020,2162,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/795/GCA_013400795.1_ASM1340079v1,
Zapornia atra,Aves,B10K-DU-011-47,SAMN12253903,PRJNA545868,GCA_013400835.1,Scaffold,1119.12,42.5,,VZTU01,58849,13339,7/10/2020,2163,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/835/GCA_013400835.1_ASM1340083v1,
Buphagus erythrorhynchus,Aves,B10K-DU-012-02,SAMN12253904,PRJNA545868,GCA_013400855.1,Scaffold,1040.19,37.7,,VZTT01,267835,0,7/10/2020,2164,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/855/GCA_013400855.1_ASM1340085v1,
Thalassarche chlororhynchos,Aves,B10K-DU-029-24,SAMN12253934,PRJNA545868,GCA_013400895.1,Scaffold,1087.78,41.6,,VZTW01,130514,0,7/10/2020,2165,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/895/GCA_013400895.1_ASM1340089v1,
Pardalotus punctatus,Aves,B10K-DU-029-51,SAMN12253951,PRJNA545868,GCA_013400915.1,Scaffold,1032.44,41.5,,VZTX01,51095,13671,7/10/2020,2166,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/915/GCA_013400915.1_ASM1340091v1,
Turnix velox,Aves,B10K-DU-029-46,SAMN12253947,PRJNA545868,GCA_013400935.1,Scaffold,968.891,40.5,,VZTY01,70421,13135,7/10/2020,2167,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/935/GCA_013400935.1_ASM1340093v1,
Drymodes brunneopygia,Aves,B10K-DU-030-03,SAMN12253961,PRJNA545868,GCA_013400955.1,Scaffold,1058.97,41.4,,VZTZ01,104345,0,7/10/2020,2168,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/955/GCA_013400955.1_ASM1340095v1,
Atrichornis clamosus,Aves,B10K-DU-029-61,SAMN12253955,PRJNA545868,GCA_013400975.1,Scaffold,1047.5,42.1,,WBMZ01,31606,14599,7/10/2020,2169,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/400/975/GCA_013400975.1_ASM1340097v1,
Rissa tridactyla,Aves,OUT-0021,SAMN12253991,PRJNA545868,GCA_013401015.1,Scaffold,1192.87,41.5,,VZUC01,53283,14776,7/10/2020,2170,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/401/015/GCA_013401015.1_ASM1340101v1,
Uria aalge,Aves,OUT-0019,SAMN12253989,PRJNA545868,GCA_013401055.1,Scaffold,1181.53,40.5,,VZUE01,52038,14166,7/10/2020,2171,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/401/055/GCA_013401055.1_ASM1340105v1,
Horornis vulcanius,Aves,B10K-DU-029-69,SAMN12253956,PRJNA545868,GCA_013401035.1,Scaffold,1223.57,33.5,,VZUA01,408627,0,7/10/2020,2172,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/401/035/GCA_013401035.1_ASM1340103v1,
Cepphus grylle,Aves,OUT-0020,SAMN12253990,PRJNA545868,GCA_013401065.1,Scaffold,1197.65,41.7,,VZUD01,60011,14764,7/10/2020,2173,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/401/065/GCA_013401065.1_ASM1340106v1,
Passerina amoena,Aves,OUT-0017,SAMN12253987,PRJNA545868,GCA_013401095.1,Scaffold,1068.85,40.8,,WBNP01,57198,12985,7/10/2020,2174,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/401/095/GCA_013401095.1_ASM1340109v1,
Calonectris borealis,Aves,OUT-0025,SAMN12253995,PRJNA545868,GCA_013401115.1,Scaffold,1166.07,42,,VZUG01,77859,14421,7/10/2020,2175,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/401/115/GCA_013401115.1_ASM1340111v1,
Cettia cetti,Aves,OUT-0056,SAMN12254007,PRJNA545868,GCA_013401135.1,Scaffold,1051.75,42,,VZUI01,98333,14916,7/10/2020,2176,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/401/135/GCA_013401135.1_ASM1340113v1,
Xiphorhynchus elegans,Aves,OUT-0059,SAMN12254008,PRJNA545868,GCA_013401175.1,Scaffold,1059.66,41.1,,VZUH01,89575,13534,7/10/2020,2177,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/401/175/GCA_013401175.1_ASM1340117v1,
Pteruthius melanotis,Aves,B10K-IZ-033-77,SAMN12253969,PRJNA545868,GCA_013401235.1,Scaffold,1043.92,41.6,,WEIY01,5183,11974,7/10/2020,2178,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/401/235/GCA_013401235.1_ASM1340123v1,
Urocolius indicus,Aves,B10K-DU-030-59,SAMN12253966,PRJNA545868,GCA_013401255.1,Scaffold,1109.6,41.2,,WBNH01,36428,14081,7/10/2020,2179,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/401/255/GCA_013401255.1_ASM1340125v1,
Brachypteracias leptosomus,Aves,B10K-DU-012-52,SAMN12253914,PRJNA545868,GCA_013401335.1,Scaffold,1125.91,39.4,,VYZX01,70974,13435,7/10/2020,2180,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/401/335/GCA_013401335.1_ASM1340133v1,
Glareola pratincola,Aves,B10K-CU-031-08,SAMN12253752,PRJNA545868,GCA_013401295.1,Scaffold,1172.99,41.3,,VWPO01,12282,13787,7/10/2020,2181,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/401/295/GCA_013401295.1_ASM1340129v1,
Balaeniceps rex,Aves,B10K-DU-012-56,SAMN12253916,PRJNA545868,GCA_013401315.1,Scaffold,1181.93,38.5,,VYZW01,121603,0,7/10/2020,2182,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/401/315/GCA_013401315.1_ASM1340131v1,
Alcedo cyanopectus,Aves,B10K-DU-013-51,SAMN12253921,PRJNA545868,GCA_013401355.1,Scaffold,1119.29,39.1,,VYZU01,381577,0,7/10/2020,2183,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/401/355/GCA_013401355.1_ASM1340135v1,
Spizella passerina,Aves,B10K-DU-023-52,SAMN12253929,PRJNA545868,GCA_013401375.1,Scaffold,1018.79,40.1,,WBNQ01,615194,0,7/10/2020,2184,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/401/375/GCA_013401375.1_ASM1340137v1,
Ardeotis kori,Aves,B10K-CU-031-01,SAMN12253748,PRJNA545868,GCA_013396375.1,Scaffold,1150.49,40.3,,VWPR01,9399,13698,7/10/2020,2185,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/375/GCA_013396375.1_ASM1339637v1,
Anhinga anhinga,Aves,B10K-CU-031-38,SAMN12253762,PRJNA545868,GCA_013396435.1,Scaffold,1183.19,40.9,,WBMU01,10030,13590,7/10/2020,2186,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/435/GCA_013396435.1_ASM1339643v1,
Smithornis capensis,Aves,B10K-CU-031-20,SAMN12253759,PRJNA545868,GCA_013396465.1,Scaffold,1061.32,39.8,,VWYW01,7272,13856,7/10/2020,2187,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/465/GCA_013396465.1_ASM1339646v1,
Chaetorhynchus papuensis,Aves,B10K-CU-031-19,SAMN12253758,PRJNA545868,GCA_013396525.1,Scaffold,1045.12,42.1,,VWYX01,7933,14337,7/10/2020,2188,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/525/GCA_013396525.1_ASM1339652v1,
Ptilorrhoa leucosticta,Aves,B10K-CU-031-17,SAMN12253757,PRJNA545868,GCA_013396485.1,Scaffold,1110.56,39.3,,VWYY01,11358,13511,7/10/2020,2189,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/485/GCA_013396485.1_ASM1339648v1,
Rhodinocichla rosea,Aves,B10K-CU-031-12,SAMN12253755,PRJNA545868,GCA_013396575.1,Scaffold,1031.97,40.9,,VWYZ01,5052,14122,7/10/2020,2190,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/575/GCA_013396575.1_ASM1339657v1,
Nyctibius bracteatus,Aves,B10K-CU-031-10,SAMN12253753,PRJNA545868,GCA_013396595.1,Scaffold,1169.29,40.5,,VWZB01,12634,13957,7/10/2020,2191,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/595/GCA_013396595.1_ASM1339659v1,
Oceanites oceanicus,Aves,B10K-CU-031-11,SAMN12253754,PRJNA545868,GCA_013396615.1,Scaffold,1178.38,40.7,,VWZA01,8405,14222,7/10/2020,2192,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/615/GCA_013396615.1_ASM1339661v1,
Penelope pileata,Aves,B10K-DU-001-08,SAMN12253771,PRJNA545868,GCA_013396635.1,Scaffold,1027.97,41.9,,WBMW01,12091,13955,7/10/2020,2193,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/635/GCA_013396635.1_ASM1339663v1,
Campylorhamphus procurvoides,Aves,B10K-DU-001-09,SAMN12253772,PRJNA545868,GCA_013396655.1,Scaffold,1047.5,41.4,,WBMV01,16876,14098,7/10/2020,2194,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/655/GCA_013396655.1_ASM1339665v1,
Eubucco bourcierii,Aves,B10K-DU-001-04,SAMN12253768,PRJNA545868,GCA_013396675.1,Scaffold,1237.63,43.4,,VWZE01,46120,14172,7/10/2020,2195,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/675/GCA_013396675.1_ASM1339667v1,
Sakesphorus luctuosus,Aves,B10K-DU-001-06,SAMN12253769,PRJNA545868,GCA_013396695.1,Scaffold,1080.15,41.6,,VWZD01,25248,14142,7/10/2020,2196,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/695/GCA_013396695.1_ASM1339669v1,
Grallaria varia,Aves,B10K-DU-001-02,SAMN12253766,PRJNA545868,GCA_013396735.1,Scaffold,1056.03,41.9,,VWZG01,26174,13918,7/10/2020,2197,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/735/GCA_013396735.1_ASM1339673v1,
Sclerurus mexicanus,Aves,B10K-DU-001-03,SAMN12253767,PRJNA545868,GCA_013396755.1,Scaffold,1046.92,41.6,,VWZF01,13055,14042,7/10/2020,2198,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/755/GCA_013396755.1_ASM1339675v1,
Ciccaba nigrolineata,Aves,B10K-DU-001-07,SAMN12253770,PRJNA545868,GCA_013396715.1,Scaffold,1188.09,40.6,,VWZC01,30009,13842,7/10/2020,2199,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/715/GCA_013396715.1_ASM1339671v1,
Corythaeola cristata,Aves,B10K-CU-031-40,SAMN12253763,PRJNA545868,GCA_013396815.1,Scaffold,1091.06,38.1,,WBMX01,36534,11515,7/10/2020,2200,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/815/GCA_013396815.1_ASM1339681v1,
Psilopogon haemacephalus,Aves,B10K-DU-001-24,SAMN12253782,PRJNA545868,GCA_013396835.1,Scaffold,1204.56,43.6,,VWZI01,45061,13550,7/10/2020,2201,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/835/GCA_013396835.1_ASM1339683v1,
Hemiprocne comata,Aves,B10K-DU-001-23,SAMN12253781,PRJNA545868,GCA_013396855.1,Scaffold,1141.2,40.9,,VWZJ01,30279,13801,7/10/2020,2202,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/855/GCA_013396855.1_ASM1339685v1,
Loxia leucoptera,Aves,B10K-DU-001-19,SAMN12253777,PRJNA545868,GCA_013396895.1,Scaffold,1027.81,41.6,,VWZM01,26321,13993,7/10/2020,2203,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/895/GCA_013396895.1_ASM1339689v1,
Stercorarius parasiticus,Aves,B10K-DU-001-20,SAMN12253778,PRJNA545868,GCA_013396915.1,Scaffold,1159.85,41.8,,VWZL01,11280,13876,7/10/2020,2204,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/915/GCA_013396915.1_ASM1339691v1,
Bucco capensis,Aves,B10K-DU-001-16,SAMN12253774,PRJNA545868,GCA_013396975.1,Scaffold,988.12,41.8,,VWZO01,41629,14416,7/10/2020,2205,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/975/GCA_013396975.1_ASM1339697v1,
Baryphthengus martii,Aves,B10K-DU-001-21,SAMN12253779,PRJNA545868,GCA_013396935.1,Scaffold,1100.88,41.7,,VWZK01,37658,13396,7/10/2020,2206,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/935/GCA_013396935.1_ASM1339693v1,
Dicaeum eximium,Aves,B10K-DU-001-34,SAMN12253792,PRJNA545868,GCA_013396995.1,Scaffold,1015.05,41.6,,VWZP01,16764,13650,7/10/2020,2207,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/396/995/GCA_013396995.1_ASM1339699v1,
Myiagra hebetior,Aves,B10K-DU-001-33,SAMN12253791,PRJNA545868,GCA_013397015.1,Scaffold,1049.9,41.6,,VWZQ01,20423,13909,7/10/2020,2208,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/397/015/GCA_013397015.1_ASM1339701v1,
Hydrobates tethys,Aves,B10K-DU-001-32,SAMN12253790,PRJNA545868,GCA_013397025.1,Scaffold,1189.01,41.3,,VWZR01,35945,14013,7/10/2020,2209,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/397/025/GCA_013397025.1_ASM1339702v1,
Pachycephala philippinensis,Aves,B10K-DU-001-28,SAMN12253786,PRJNA545868,GCA_013397055.1,Scaffold,1041.72,41.7,,VWZT01,28049,13335,7/10/2020,2210,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/397/055/GCA_013397055.1_ASM1339705v1,
Rhabdornis inornatus,Aves,B10K-DU-001-29,SAMN12253787,PRJNA545868,GCA_013397075.1,Scaffold,1038.14,41.4,,VWZS01,18698,14377,7/10/2020,2211,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/397/075/GCA_013397075.1_ASM1339707v1,
Sterrhoptilus dennistouni,Aves,B10K-DU-001-27,SAMN12253785,PRJNA545868,GCA_013397095.1,Scaffold,1050.38,40.7,,VWZU01,31158,13251,7/10/2020,2212,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/397/095/GCA_013397095.1_ASM1339709v1,
Edolisoma coerulescens,Aves,B10K-DU-001-25,SAMN12253783,PRJNA545868,GCA_013397115.1,Scaffold,1042.45,42,,VWZW01,13754,13682,7/10/2020,2213,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/397/115/GCA_013397115.1_ASM1339711v1,
Irena cyanogastra,Aves,B10K-DU-001-26,SAMN12253784,PRJNA545868,GCA_013397155.1,Scaffold,1036.55,41.8,,VWZV01,29340,14236,7/10/2020,2214,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/397/155/GCA_013397155.1_ASM1339715v1,
Thryothorus ludovicianus,Aves,B10K-DU-001-68,SAMN12253818,PRJNA545868,GCA_013397245.1,Scaffold,1031.45,41,,VZTB01,37520,13691,7/10/2020,2215,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/397/245/GCA_013397245.1_ASM1339724v1,
Leucopsar rothschildi,Aves,B10K-DU-002-02,SAMN12253829,PRJNA545868,GCA_013397325.1,Scaffold,1019.06,40.9,,VZTC01,17982,13461,7/10/2020,2216,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/397/325/GCA_013397325.1_ASM1339732v1,
Donacobius atricapilla,Aves,B10K-DU-001-63,SAMN12253813,PRJNA545868,GCA_013397315.1,Scaffold,1054.19,41.5,,WBMY01,31620,13746,7/10/2020,2217,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/397/315/GCA_013397315.1_ASM1339731v1,
Calcarius ornatus,Aves,B10K-DU-015-28,SAMN12253923,PRJNA545868,GCA_013397715.1,Scaffold,1056.3,40.3,,WBNL01,10673,13683,7/10/2020,2218,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/397/715/GCA_013397715.1_ASM1339771v1,
Cnemophilus loriae,Aves,B10K-DU-029-38,SAMN12253940,PRJNA545868,GCA_013397755.1,Scaffold,1043.49,41.9,,VZTF01,17495,14124,7/10/2020,2219,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/397/755/GCA_013397755.1_ASM1339775v1,
Eulacestoma nigropectus,Aves,B10K-DU-029-39,SAMN12253941,PRJNA545868,GCA_013397775.1,Scaffold,1040.44,41.8,,VZTE01,11293,14313,7/10/2020,2220,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/397/775/GCA_013397775.1_ASM1339777v1,
Orthonyx spaldingii,Aves,B10K-DU-029-32,SAMN12253936,PRJNA545868,GCA_013397795.1,Scaffold,1034.66,41.7,,VZTJ01,11336,14292,7/10/2020,2221,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/397/795/GCA_013397795.1_ASM1339779v1,
Aleadryas rufinucha,Aves,B10K-DU-029-36,SAMN12253938,PRJNA545868,GCA_013397815.1,Scaffold,1050.11,41.8,,VZTH01,33566,13899,7/10/2020,2222,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/397/815/GCA_013397815.1_ASM1339781v1,
Melanocharis versteri,Aves,B10K-DU-029-37,SAMN12253939,PRJNA545868,GCA_013397845.1,Scaffold,1030.54,42.1,,VZTG01,21103,13985,7/10/2020,2223,2020,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/397/845/GCA_013397845.1_ASM1339784v1,
