Organism Groups,AssemblyAccession,Organism,SpeciesName,Coverage,SubmissionDate,SubmissionYear,SubmitterOrganization,ContigN50,ScaffoldN50,BioSample,GenBank assembly accession,RefSeq assembly accession,sequencing_tech,long_reads
Osteichthyes,GCA_015104535.1,Gnathochromis permaxillaris (bony fishes),Gnathochromis permaxillaris,11.53,10/29/2020,2020,"""CICHLID~X""",8427,20905,SAMN12123742,NA,NA,NA,NA
Osteichthyes,GCA_015102815.1,Benthochromis horii (bony fishes),Benthochromis horii,11.32,10/29/2020,2020,"""CICHLID~X""",8411,20481,SAMN12123661,NA,NA,NA,NA
Osteichthyes,GCA_015104075.1,Neolamprologus crassus (bony fishes),Neolamprologus crassus,11.11,10/29/2020,2020,"""CICHLID~X""",8405,18897,SAMN12123765,NA,NA,NA,NA
Osteichthyes,GCA_015102195.1,Neolamprologus fasciatus (bony fishes),Neolamprologus fasciatus,12.61,10/29/2020,2020,"""CICHLID~X""",8402,17411,SAMN12123593,NA,NA,NA,NA
Osteichthyes,GCA_015104405.1,Bathybates fasciatus (bony fishes),Bathybates fasciatus,14.16,10/29/2020,2020,"""CICHLID~X""",8373,17371,SAMN12123750,NA,NA,NA,NA
Osteichthyes,GCA_015111915.1,Orthochromis malagaraziensis (bony fishes),Orthochromis malagaraziensis,8.85,10/29/2020,2020,"""CICHLID~X""",8359,17499,SAMN12124019,NA,NA,NA,NA
Osteichthyes,GCA_015106585.1,Xenotilapia papilio (bony fishes),Xenotilapia papilio,8.43,10/29/2020,2020,"""CICHLID~X""",8327,16923,SAMN12123766,NA,NA,NA,NA
Osteichthyes,GCA_015110215.1,Tropheus brichardi (bony fishes),Tropheus brichardi,11.15,10/29/2020,2020,"""CICHLID~X""",8313,21385,SAMN12123952,NA,NA,NA,NA
Osteichthyes,GCA_015111975.1,Telmatochromis bifrenatus (bony fishes),Telmatochromis bifrenatus,9.45,10/29/2020,2020,"""CICHLID~X""",8312,17923,SAMN12124017,NA,NA,NA,NA
Osteichthyes,GCA_015113255.1,Neolamprologus bifasciatus (bony fishes),Neolamprologus bifasciatus,9.16,10/29/2020,2020,"""CICHLID~X""",8310,17260,SAMN12124105,NA,NA,NA,NA
Osteichthyes,GCA_015107095.1,Neolamprologus buescheri (bony fishes),Neolamprologus buescheri,9.35,10/29/2020,2020,"""CICHLID~X""",8305,14345,SAMN12123855,NA,NA,NA,NA
Osteichthyes,GCA_015111895.1,Orthochromis uvinzae (bony fishes),Orthochromis uvinzae,8.45,10/29/2020,2020,"""CICHLID~X""",8303,17786,SAMN12124020,NA,NA,NA,NA
Osteichthyes,GCA_015109035.1,Neolamprologus chitamwebwai (bony fishes),Neolamprologus chitamwebwai,8.79,10/29/2020,2020,"""CICHLID~X""",8294,16878,SAMN12124009,NA,NA,NA,NA
Osteichthyes,GCA_901007715.1,Dactylopterus volitans (flying gurnard),Dactylopterus volitans,34,4/15/2020,2020,CEES,8271,17099,SAMEA5563350,NA,NA,NA,NA
Osteichthyes,GCA_015110975.1,Cyphotilapia frontosa (humphead cichlid),Cyphotilapia frontosa,8.53,10/29/2020,2020,"""CICHLID~X""",8262,19609,SAMN12124067,NA,NA,NA,NA
Osteichthyes,GCA_015102775.1,Benthochromis melanoides (bony fishes),Benthochromis melanoides,11.4,10/29/2020,2020,"""CICHLID~X""",8230,20326,SAMN12123662,NA,NA,NA,NA
Osteichthyes,GCA_015052405.1,Altolamprologus calvus (bony fishes),Altolamprologus calvus,12.15,10/28/2020,2020,"""CICHLID~X""",8227,16859,SAMN12123691,NA,NA,NA,NA
Osteichthyes,GCA_015110915.1,Neolamprologus sp. 'eseki' AB-2019 (bony fishes),Neolamprologus sp. 'eseki' AB-2019,10.1,10/29/2020,2020,"""CICHLID~X""",8220,19069,SAMN12124072,NA,NA,NA,NA
Osteichthyes,GCA_015102635.1,Xenotilapia nasus (bony fishes),Xenotilapia nasus,15.22,10/29/2020,2020,"""CICHLID~X""",8211,18402,SAMN12123672,NA,NA,NA,NA
Osteichthyes,GCA_015109475.1,Neolamprologus similis (bony fishes),Neolamprologus similis,11.04,10/29/2020,2020,"""CICHLID~X""",8184,18012,SAMN12123989,NA,NA,NA,NA
Osteichthyes,GCA_015103035.1,Neolamprologus calliurus (bony fishes),Neolamprologus calliurus,12.71,10/29/2020,2020,"""CICHLID~X""",8168,18816,SAMN12123651,NA,NA,NA,NA
Osteichthyes,GCA_900302285.1,Percopsis transmontana (sand roller),Percopsis transmontana,35,3/20/2018,2018,CEES,8161,15180,SAMEA4028770,NA,NA,NA,NA
Osteichthyes,GCA_015107375.1,Lamprologus sp. 'ornatipinnis zambia' AB-2019 (bony fishes),Lamprologus sp. 'ornatipinnis zambia' AB-2019,10.45,10/29/2020,2020,"""CICHLID~X""",8143,14892,SAMN12123841,NA,NA,NA,NA
Osteichthyes,GCA_015110015.1,Xenotilapia ornatipinnis (bony fishes),Xenotilapia ornatipinnis,11.01,10/29/2020,2020,"""CICHLID~X""",8120,18384,SAMN12123960,NA,NA,NA,NA
Osteichthyes,GCA_011763505.1,Lythrypnus dalli (bluebanded goby),Lythrypnus dalli,120,3/27/2020,2020,IRIDIAN GENOMES,8114,2577483,SAMN06220456,NA,NA,NA,NA
Osteichthyes,GCF_001266775.1,Austrofundulus limnaeus (bony fishes),Austrofundulus limnaeus,94,7/28/2015,2015,"Center for Life in Extreme Environments at Portland State University, Portland, OR",8097,1098383,SAMN03490872,NA,NA,NA,NA
Osteichthyes,GCA_010119295.1,Larimichthys polyactis (yellow croaker),Larimichthys polyactis,141,2/3/2020,2020,Zhejiang Ocean University,8079,146739,SAMN13220413,NA,NA,NA,NA
Osteichthyes,GCA_015104175.1,Xenotilapia bathyphila (bony fishes),Xenotilapia bathyphila,12.05,10/29/2020,2020,"""CICHLID~X""",8047,16943,SAMN12123762,NA,NA,NA,NA
Osteichthyes,GCA_900323365.1,Monocentris japonicus (pineconefish),Monocentris japonicus,16,3/26/2018,2018,CEES,8046,18672,SAMEA4028804,NA,NA,NA,NA
Osteichthyes,GCA_015105375.1,Xenotilapia boulengeri (bony fishes),Xenotilapia boulengeri,9.95,10/29/2020,2020,"""CICHLID~X""",8041,15481,SAMN12123698,NA,NA,NA,NA
Osteichthyes,GCA_015102085.1,Xenotilapia sima (bony fishes),Xenotilapia sima,11.84,10/29/2020,2020,"""CICHLID~X""",7992,16869,SAMN12123755,NA,NA,NA,NA
Osteichthyes,GCA_015109575.1,Orthochromis mazimeroensis (bony fishes),Orthochromis mazimeroensis,9.26,10/29/2020,2020,"""CICHLID~X""",7972,15634,SAMN12123984,NA,NA,NA,NA
Osteichthyes,GCA_015109875.1,Astatoreochromis straeleni (bluelip haplo),Astatoreochromis straeleni,9.57,10/29/2020,2020,"""CICHLID~X""",7930,15567,SAMN12123967,NA,NA,NA,NA
Osteichthyes,GCA_015102675.1,Neolamprologus obscurus (bony fishes),Neolamprologus obscurus,8.23,10/29/2020,2020,"""CICHLID~X""",7921,16758,SAMN12123666,NA,NA,NA,NA
Osteichthyes,GCA_015104635.1,Cyprichromis leptosoma (bony fishes),Cyprichromis leptosoma,11.24,10/29/2020,2020,"""CICHLID~X""",7919,18754,SAMN12123740,NA,NA,NA,NA
Osteichthyes,GCA_015109155.1,Tropheus duboisi (dwarf Tanganyikan cichlid),Tropheus duboisi,10.19,10/29/2020,2020,"""CICHLID~X""",7918,20781,SAMN12124008,NA,NA,NA,NA
Osteichthyes,GCA_015106855.1,Xenotilapia ochrogenys (bony fishes),Xenotilapia ochrogenys,12.67,10/29/2020,2020,"""CICHLID~X""",7887,14890,SAMN12123874,NA,NA,NA,NA
Osteichthyes,GCA_015104565.1,Limnochromis auritus (spangled cichlid),Limnochromis auritus,9.89,10/29/2020,2020,"""CICHLID~X""",7877,24055,SAMN12123744,NA,NA,NA,NA
Osteichthyes,GCA_015102915.1,Julidochromis sp. 'kombe' AB-2019 (bony fishes),Julidochromis sp. 'kombe' AB-2019,8.91,10/29/2020,2020,"""CICHLID~X""",7872,15580,SAMN12123657,NA,NA,NA,NA
Osteichthyes,GCA_015104465.1,Neolamprologus christyi (bony fishes),Neolamprologus christyi,10.35,10/29/2020,2020,"""CICHLID~X""",7850,17227,SAMN12123749,NA,NA,NA,NA
Osteichthyes,GCA_015107635.1,Telmatochromis brachygnathus (bony fishes),Telmatochromis brachygnathus,8.72,10/29/2020,2020,"""CICHLID~X""",7847,17497,SAMN12123828,NA,NA,NA,NA
Osteichthyes,GCA_015103395.1,Callochromis macrops (bony fishes),Callochromis macrops,11.07,10/29/2020,2020,"""CICHLID~X""",7844,15931,SAMN12123631,NA,NA,NA,NA
Osteichthyes,GCA_900660355.1,Hoplostethus atlanticus (orange roughy),Hoplostethus atlanticus,28,6/18/2019,2019,CEES,7812,15562,SAMEA5226241,NA,NA,NA,NA
Osteichthyes,GCA_015112635.1,Chalinochromis cyanophleps (bony fishes),Chalinochromis cyanophleps,10.11,10/29/2020,2020,"""CICHLID~X""",7798,17759,SAMN12124089,NA,NA,NA,NA
Osteichthyes,GCA_015102795.1,Bathybates graueri (bony fishes),Bathybates graueri,12.48,10/29/2020,2020,"""CICHLID~X""",7795,15774,SAMN12123663,NA,NA,NA,NA
Osteichthyes,GCA_015111655.1,Neolamprologus leloupi (bony fishes),Neolamprologus leloupi,10.36,10/29/2020,2020,"""CICHLID~X""",7785,18065,SAMN12124030,NA,NA,NA,NA
Osteichthyes,GCA_015052665.1,Apistogramma diplotaenia (bony fishes),Apistogramma diplotaenia,8.23,10/28/2020,2020,"""CICHLID~X""",7784,25160,SAMN12123895,NA,NA,NA,NA
Osteichthyes,GCA_015112615.1,Ophthalmotilapia sp. 'white cap' AB-2019 (bony fishes),Ophthalmotilapia sp. 'white cap' AB-2019,10.92,10/29/2020,2020,"""CICHLID~X""",7777,17297,SAMN12124091,NA,NA,NA,NA
Osteichthyes,GCA_015112095.1,Ectodus sp. 'north' (bony fishes),Ectodus sp. 'north',8.48,10/29/2020,2020,"""CICHLID~X""",7755,15826,SAMN12124011,NA,NA,NA,NA
Osteichthyes,GCA_015106915.1,Cyprichromis microlepidotus (bony fishes),Cyprichromis microlepidotus,8.45,10/29/2020,2020,"""CICHLID~X""",7749,17400,SAMN12123871,NA,NA,NA,NA
Osteichthyes,GCA_003347165.1,Ageneiosus marmoratus (bony fishes),Ageneiosus marmoratus,180,7/31/2018,2018,Auburn University,7741,223139,SAMN08271869,NA,NA,NA,NA
Osteichthyes,GCA_015103355.1,Trematochromis benthicola (bony fishes),Trematochromis benthicola,10.64,10/29/2020,2020,"""CICHLID~X""",7736,21982,SAMN12123632,NA,NA,NA,NA
Osteichthyes,GCA_015103655.1,Cyathopharynx furcifer (bony fishes),Cyathopharynx furcifer,10.67,10/29/2020,2020,"""CICHLID~X""",7725,17001,SAMN12123617,NA,NA,NA,NA
Osteichthyes,GCA_015112555.1,Neolamprologus petricola (bony fishes),Neolamprologus petricola,9.96,10/29/2020,2020,"""CICHLID~X""",7694,18014,SAMN12124094,NA,NA,NA,NA
Osteichthyes,GCA_015111955.1,Neolamprologus niger (bony fishes),Neolamprologus niger,8.48,10/29/2020,2020,"""CICHLID~X""",7682,15101,SAMN12124015,NA,NA,NA,NA
Osteichthyes,GCA_015111835.1,Oreochromis malagarasi (bony fishes),Oreochromis malagarasi,8.89,10/29/2020,2020,"""CICHLID~X""",7668,22297,SAMN12124022,NA,NA,NA,NA
Osteichthyes,GCA_015111535.1,Petrochromis sp. 'red' AB-2019 (bony fishes),Petrochromis sp. 'red' AB-2019,8.15,10/29/2020,2020,"""CICHLID~X""",7649,18769,SAMN12124036,NA,NA,NA,NA
Osteichthyes,GCA_015107115.1,Triglachromis otostigma (bony fishes),Triglachromis otostigma,12.27,10/29/2020,2020,"""CICHLID~X""",7635,17330,SAMN12123852,NA,NA,NA,NA
Osteichthyes,GCA_015110795.1,Lepidiolamprologus kamambae (bony fishes),Lepidiolamprologus kamambae,10.58,10/29/2020,2020,"""CICHLID~X""",7615,16863,SAMN12124078,NA,NA,NA,NA
Osteichthyes,GCA_015052265.1,Cyprichromis pavo (bony fishes),Cyprichromis pavo,11.8,10/28/2020,2020,"""CICHLID~X""",7608,18957,SAMN12123846,NA,NA,NA,NA
Osteichthyes,GCA_015113155.1,Plecodus elaviae (bony fishes),Plecodus elaviae,9.98,10/29/2020,2020,"""CICHLID~X""",7573,20442,SAMN12124109,NA,NA,NA,NA
Osteichthyes,GCA_015111615.1,Neolamprologus sp. 'gracilis tanzania' AB-2019 (bony fishes),Neolamprologus sp. 'gracilis tanzania' AB-2019,8.68,10/29/2020,2020,"""CICHLID~X""",7544,16381,SAMN12124034,NA,NA,NA,NA
Osteichthyes,GCA_015102955.1,Neolamprologus mustax (bony fishes),Neolamprologus mustax,10.61,10/29/2020,2020,"""CICHLID~X""",7541,17668,SAMN12123652,NA,NA,NA,NA
Osteichthyes,GCA_015104675.1,Julidochromis ornatus (golden julie),Julidochromis ornatus,10.61,10/29/2020,2020,"""CICHLID~X""",7535,17828,SAMN12123736,NA,NA,NA,NA
Osteichthyes,GCA_015104355.1,Trematocara macrostoma (bony fishes),Trematocara macrostoma,15.32,10/29/2020,2020,"""CICHLID~X""",7524,12581,SAMN12123752,NA,NA,NA,NA
Osteichthyes,GCA_015106895.1,Lestradea stappersii (bony fishes),Lestradea stappersii,8.77,10/29/2020,2020,"""CICHLID~X""",7523,15765,SAMN12123872,NA,NA,NA,NA
Osteichthyes,GCA_015103955.1,Lepidiolamprologus attenuatus (bony fishes),Lepidiolamprologus attenuatus,10.41,10/29/2020,2020,"""CICHLID~X""",7519,16957,SAMN12123600,NA,NA,NA,NA
Osteichthyes,GCA_015102975.1,Telmatochromis sp. 'lufubu' AB-2019 (bony fishes),Telmatochromis sp. 'lufubu' AB-2019,10.61,10/29/2020,2020,"""CICHLID~X""",7514,16680,SAMN12123650,NA,NA,NA,NA
Osteichthyes,GCA_015052505.1,Gnathochromis pfefferi (bony fishes),Gnathochromis pfefferi,9.38,10/28/2020,2020,"""CICHLID~X""",7499,20610,SAMN12123602,NA,NA,NA,NA
Osteichthyes,GCA_000700825.1,Pimephales promelas (fathead minnow),Pimephales promelas,62,6/10/2014,2014,DuPont,7468,60380,SAMN02418978,NA,NA,NA,NA
Osteichthyes,GCA_015103715.1,Ophthalmotilapia nasuta (bony fishes),Ophthalmotilapia nasuta,11.09,10/29/2020,2020,"""CICHLID~X""",7442,16407,SAMN12123615,NA,NA,NA,NA
Osteichthyes,GCA_015111175.1,Neolamprologus sp. 'caudopunctatus kipili' AB-2019 (bony fishes),Neolamprologus sp. 'caudopunctatus kipili' AB-2019,10.18,10/29/2020,2020,"""CICHLID~X""",7442,17227,SAMN12124056,NA,NA,NA,NA
Osteichthyes,GCA_015110875.1,Neolamprologus sp. 'cygnus' AB-2019 (bony fishes),Neolamprologus sp. 'cygnus' AB-2019,10.09,10/29/2020,2020,"""CICHLID~X""",7434,18145,SAMN12124075,NA,NA,NA,NA
Osteichthyes,GCA_015107595.1,Bathybates minor (bony fishes),Bathybates minor,9.07,10/29/2020,2020,"""CICHLID~X""",7433,14108,SAMN12123829,NA,NA,NA,NA
Osteichthyes,GCA_015111115.1,Xenotilapia sp. 'spilopterus north' AB-2019 (bony fishes),Xenotilapia sp. 'spilopterus north' AB-2019,9.03,10/29/2020,2020,"""CICHLID~X""",7426,13626,SAMN12124059,NA,NA,NA,NA
Osteichthyes,GCA_015106175.1,Hemibates stenosoma (bony fishes),Hemibates stenosoma,9.29,10/29/2020,2020,"""CICHLID~X""",7406,14497,SAMN12123787,NA,NA,NA,NA
Osteichthyes,GCA_015108835.1,Lamprologus sp. 'ornatipinnis congo' AB-2019 (bony fishes),Lamprologus sp. 'ornatipinnis congo' AB-2019,8.66,10/29/2020,2020,"""CICHLID~X""",7381,14372,SAMN12123879,NA,NA,NA,NA
Osteichthyes,GCA_015102055.1,Chalinochromis brichardi (bony fishes),Chalinochromis brichardi,9.55,10/29/2020,2020,"""CICHLID~X""",7357,16938,SAMN12123596,NA,NA,NA,NA
Osteichthyes,GCA_001606085.1,Anguilla rostrata (American eel),Anguilla rostrata,169,4/4/2016,2016,Universite Laval,7355,86641,SAMN03737505,NA,NA,NA,NA
Osteichthyes,GCA_900302745.1,Parablennius parvicornis (rock-pool blenny),Parablennius parvicornis,30,3/19/2018,2018,CEES,7343,16796,SAMEA4028827,NA,NA,NA,NA
Osteichthyes,GCA_015105635.1,Cyathopharynx foae (bony fishes),Cyathopharynx foae,8.78,10/29/2020,2020,"""CICHLID~X""",7316,15006,SAMN12123686,NA,NA,NA,NA
Osteichthyes,GCA_015111745.1,Telmatochromis dhonti (bony fishes),Telmatochromis dhonti,8.84,10/29/2020,2020,"""CICHLID~X""",7315,15022,SAMN12124027,NA,NA,NA,NA
Osteichthyes,GCA_900302405.1,Typhlichthys subterraneus (southern cavefish),Typhlichthys subterraneus,23,3/19/2018,2018,CEES,7314,9654,SAMEA4028771,NA,NA,NA,NA
Osteichthyes,GCA_015108855.1,Telmatochromis brichardi (bony fishes),Telmatochromis brichardi,10.53,10/29/2020,2020,"""CICHLID~X""",7285,17219,SAMN12123876,NA,NA,NA,NA
Osteichthyes,GCA_015103555.1,Chalinochromis popelini (bony fishes),Chalinochromis popelini,8.7,10/29/2020,2020,"""CICHLID~X""",7255,14526,SAMN12123622,NA,NA,NA,NA
Osteichthyes,GCA_015106295.1,Trematocara unimaculatum (bony fishes),Trematocara unimaculatum,13.83,10/29/2020,2020,"""CICHLID~X""",7238,13602,SAMN12123781,NA,NA,NA,NA
Osteichthyes,GCA_015111355.1,Petrochromis sp. 'giant' AB-2019 (bony fishes),Petrochromis sp. 'giant' AB-2019,10.1,10/29/2020,2020,"""CICHLID~X""",7185,21298,SAMN12124046,NA,NA,NA,NA
Osteichthyes,GCA_015103795.1,Xenotilapia spiloptera (bony fishes),Xenotilapia spiloptera,10.51,10/29/2020,2020,"""CICHLID~X""",7181,15111,SAMN12123610,NA,NA,NA,NA
Osteichthyes,GCA_015109695.1,Neolamprologus boulengeri (bony fishes),Neolamprologus boulengeri,8.82,10/29/2020,2020,"""CICHLID~X""",7181,14253,SAMN12123977,NA,NA,NA,NA
Osteichthyes,GCA_015105275.1,Haplotaxodon trifasciatus (bony fishes),Haplotaxodon trifasciatus,9.97,10/29/2020,2020,"""CICHLID~X""",7150,19295,SAMN12123705,NA,NA,NA,NA
Osteichthyes,GCA_015106555.1,Haplochromis vanheusdeni (bony fishes),Haplochromis vanheusdeni,9.24,10/29/2020,2020,"""CICHLID~X""",7127,13129,SAMN12123916,NA,NA,NA,NA
Osteichthyes,GCA_015104335.1,Trematocara nigrifrons (bony fishes),Trematocara nigrifrons,8.68,10/29/2020,2020,"""CICHLID~X""",7084,10568,SAMN12123753,NA,NA,NA,NA
Osteichthyes,GCA_015111455.1,Petrochromis sp. 'moshi yellow' AB-2019 (bony fishes),Petrochromis sp. 'moshi yellow' AB-2019,9.75,10/29/2020,2020,"""CICHLID~X""",7050,20831,SAMN12124041,NA,NA,NA,NA
Osteichthyes,GCA_015105235.1,Paracyprichromis sp. 'brieni south' AB-2019 (bony fishes),Paracyprichromis sp. 'brieni south' AB-2019,10.88,10/29/2020,2020,"""CICHLID~X""",7018,18184,SAMN12123707,NA,NA,NA,NA
Osteichthyes,GCA_015103815.1,Limnotilapia dardennii (bony fishes),Limnotilapia dardennii,9.72,10/29/2020,2020,"""CICHLID~X""",7015,21625,SAMN12123607,NA,NA,NA,NA
Osteichthyes,GCA_015111255.1,Neolamprologus sp. 'furcifer ulwile' AB-2019 (bony fishes),Neolamprologus sp. 'furcifer ulwile' AB-2019,9.56,10/29/2020,2020,"""CICHLID~X""",7009,16984,SAMN12124054,NA,NA,NA,NA
Osteichthyes,GCA_015103915.1,Petrochromis polyodon (bony fishes),Petrochromis polyodon,9.65,10/29/2020,2020,"""CICHLID~X""",6985,21185,SAMN12123603,NA,NA,NA,NA
Osteichthyes,GCA_015102735.1,Telmatochromis temporalis (bony fishes),Telmatochromis temporalis,10.6,10/29/2020,2020,"""CICHLID~X""",6984,16681,SAMN12123668,NA,NA,NA,NA
Osteichthyes,GCA_015104795.1,Trematocara marginatum (bony fishes),Trematocara marginatum,18.38,10/29/2020,2020,"""CICHLID~X""",6980,11695,SAMN12123730,NA,NA,NA,NA
Osteichthyes,GCA_015052645.1,Benitochromis conjunctus (bony fishes),Benitochromis conjunctus,9.2,10/28/2020,2020,"""CICHLID~X""",6902,27758,SAMN12123899,NA,NA,NA,NA
Osteichthyes,GCA_015102295.1,Aulonocranus dewindti (bony fishes),Aulonocranus dewindti,10.13,10/29/2020,2020,"""CICHLID~X""",6878,16786,SAMN12123586,NA,NA,NA,NA
Osteichthyes,GCA_015107995.1,Trematocara stigmaticum (bony fishes),Trematocara stigmaticum,12.69,10/29/2020,2020,"""CICHLID~X""",6870,12144,SAMN12123803,NA,NA,NA,NA
Osteichthyes,GCA_015108095.1,Petrochromis famula (bony fishes),Petrochromis famula,10.72,10/29/2020,2020,"""CICHLID~X""",6846,20166,SAMN12123793,NA,NA,NA,NA
Osteichthyes,GCA_900302585.1,Regalecus glesne (king of herrings),Regalecus glesne,30,3/20/2018,2018,CEES,6781,9773,SAMEA4028802,NA,NA,NA,NA
Osteichthyes,GCA_015104875.1,Telmatochromis sp. 'shell' AB-2019 (bony fishes),Telmatochromis sp. 'shell' AB-2019,10.88,10/29/2020,2020,"""CICHLID~X""",6771,17380,SAMN12123727,NA,NA,NA,NA
Osteichthyes,GCA_015112655.1,Neolamprologus timidus (bony fishes),Neolamprologus timidus,9.57,10/29/2020,2020,"""CICHLID~X""",6737,16132,SAMN12124087,NA,NA,NA,NA
Osteichthyes,GCA_015103155.1,Petrochromis fasciolatus (bony fishes),Petrochromis fasciolatus,9.92,10/29/2020,2020,"""CICHLID~X""",6733,20016,SAMN12123644,NA,NA,NA,NA
Osteichthyes,GCA_900303255.1,Lesueurigobius sanzi (Sanzo's goby),Lesueurigobius sanzi,13,3/21/2018,2018,CEES,6729,11480,SAMEA4028816,NA,NA,NA,NA
Osteichthyes,GCA_015103175.1,Xenotilapia sp. 'papilio sunflower' (bony fishes),Xenotilapia sp. 'papilio sunflower',10.64,10/29/2020,2020,"""CICHLID~X""",6722,14233,SAMN12123641,NA,NA,NA,NA
Osteichthyes,GCA_015107455.1,Bathybates vittatus (bony fishes),Bathybates vittatus,13.28,10/29/2020,2020,"""CICHLID~X""",6717,13571,SAMN12123837,NA,NA,NA,NA
Osteichthyes,GCA_015109125.1,Neolamprologus tretocephalus (bony fishes),Neolamprologus tretocephalus,9.82,10/29/2020,2020,"""CICHLID~X""",6685,17712,SAMN12124006,NA,NA,NA,NA
Osteichthyes,GCA_015103535.1,Ophthalmotilapia heterodonta (bony fishes),Ophthalmotilapia heterodonta,9.82,10/29/2020,2020,"""CICHLID~X""",6680,12481,SAMN12123623,NA,NA,NA,NA
Osteichthyes,GCA_015111275.1,Chalinochromis sp. 'bifrenatus' (bony fishes),Chalinochromis sp. 'bifrenatus',9.46,10/29/2020,2020,"""CICHLID~X""",6649,16567,SAMN12124050,NA,NA,NA,NA
Osteichthyes,GCA_015111635.1,Neolamprologus sp. 'falcicula mahale' AB-2019 (bony fishes),Neolamprologus sp. 'falcicula mahale' AB-2019,7.79,10/29/2020,2020,"""CICHLID~X""",6646,15211,SAMN12124032,NA,NA,NA,NA
Osteichthyes,GCA_015052525.1,Petrochromis sp. 'orthognathus ikola' AB-2019 (bony fishes),Petrochromis sp. 'orthognathus ikola' AB-2019,9.89,10/28/2020,2020,"""CICHLID~X""",6620,19141,SAMN12124070,NA,NA,NA,NA
Osteichthyes,GCA_015103015.1,Neolamprologus brevis (bony fishes),Neolamprologus brevis,8.19,10/29/2020,2020,"""CICHLID~X""",6608,13765,SAMN12123653,NA,NA,NA,NA
Osteichthyes,GCA_015111855.1,Haplochromis paludinosus (bony fishes),Haplochromis paludinosus,7.96,10/29/2020,2020,"""CICHLID~X""",6571,15811,SAMN12124021,NA,NA,NA,NA
Osteichthyes,GCA_015105095.1,Lestradea perspicax (bony fishes),Lestradea perspicax,10.6,10/29/2020,2020,"""CICHLID~X""",6554,16149,SAMN12123714,NA,NA,NA,NA
Osteichthyes,GCA_015111595.1,Bathybates ferox (bony fishes),Bathybates ferox,8.32,10/29/2020,2020,"""CICHLID~X""",6506,13384,SAMN12124037,NA,NA,NA,NA
Osteichthyes,GCA_015102875.1,Bathybates leo (bony fishes),Bathybates leo,8.98,10/29/2020,2020,"""CICHLID~X""",6491,11954,SAMN12123660,NA,NA,NA,NA
Osteichthyes,GCA_015112775.1,Petrochromis sp. 'macrognathus rainbow' AB-2019 (bony fishes),Petrochromis sp. 'macrognathus rainbow' AB-2019,9.37,10/29/2020,2020,"""CICHLID~X""",6472,19553,SAMN12124086,NA,NA,NA,NA
Osteichthyes,GCA_015102115.1,Lepidiolamprologus elongatus (bony fishes),Lepidiolamprologus elongatus,9.67,10/29/2020,2020,"""CICHLID~X""",6445,15631,SAMN12123594,NA,NA,NA,NA
Osteichthyes,GCA_015113295.1,Tropheus sp. 'murago' AB-2019 (bony fishes),Tropheus sp. 'murago' AB-2019,9.83,10/29/2020,2020,"""CICHLID~X""",6436,19929,SAMN12124101,NA,NA,NA,NA
Osteichthyes,GCA_015109195.1,Julidochromis regani (convict julie),Julidochromis regani,9.16,10/29/2020,2020,"""CICHLID~X""",6414,17949,SAMN12124004,NA,NA,NA,NA
Osteichthyes,GCA_015108635.1,Andinoacara biseriatus (bony fishes),Andinoacara biseriatus,8.98,10/29/2020,2020,"""CICHLID~X""",6409,25636,SAMN12123893,NA,NA,NA,NA
Osteichthyes,GCA_015102855.1,Neolamprologus sp. 'kombe' AB-2019 (bony fishes),Neolamprologus sp. 'kombe' AB-2019,10.18,10/29/2020,2020,"""CICHLID~X""",6398,16723,SAMN12123659,NA,NA,NA,NA
Osteichthyes,GCA_015113235.1,Lepidiolamprologus sp. 'meeli kipili' AB-2019 (bony fishes),Lepidiolamprologus sp. 'meeli kipili' AB-2019,10.29,10/29/2020,2020,"""CICHLID~X""",6343,15380,SAMN12124096,NA,NA,NA,NA
Osteichthyes,GCA_015108715.1,Lamprologus meleagris (bony fishes),Lamprologus meleagris,8.3,10/29/2020,2020,"""CICHLID~X""",6313,10961,SAMN12123885,NA,NA,NA,NA
Osteichthyes,GCA_015102515.1,Neolamprologus sexfasciatus (bony fishes),Neolamprologus sexfasciatus,10.42,10/29/2020,2020,"""CICHLID~X""",6282,15928,SAMN12123677,NA,NA,NA,NA
Osteichthyes,GCA_015110735.1,Ophthalmotilapia boops (bony fishes),Ophthalmotilapia boops,10.18,10/29/2020,2020,"""CICHLID~X""",6277,16062,SAMN12124081,NA,NA,NA,NA
Osteichthyes,GCA_015103475.1,Cyprichromis sp. 'kibishi' AB-2019 (bony fishes),Cyprichromis sp. 'kibishi' AB-2019,8.48,10/29/2020,2020,"""CICHLID~X""",6236,13770,SAMN12123626,NA,NA,NA,NA
Osteichthyes,GCA_900323305.1,Trachyrincus murrayi (roughnose grenadier),Trachyrincus murrayi,26,3/26/2018,2018,CEES,6231,19998,SAMEA4028782,NA,NA,NA,NA
Osteichthyes,GCA_015109345.1,Chalinochromis sp. 'ndobhoi' AB-2019 (bony fishes),Chalinochromis sp. 'ndobhoi' AB-2019,9.24,10/29/2020,2020,"""CICHLID~X""",6221,15111,SAMN12123994,NA,NA,NA,NA
Osteichthyes,GCA_015111395.1,Lepidiolamprologus mimicus (bony fishes),Lepidiolamprologus mimicus,9.76,10/29/2020,2020,"""CICHLID~X""",6214,16068,SAMN12124048,NA,NA,NA,NA
